SNname dm15b dm15berr w2peak w2peakerr m2peak m2peakerr w1peak w1peakerr uupeak uupeakerr bbpeak bbpeakerr vvpeak vvpeakerr w2bpeak w2bpeakerr  m2bpeak m2bpeakerr  w1bpeak w1bpeakerr  uubpeak uubpeakerr  bbbpeak bbbpeakerr  vvbpeak vvbpeakerr 
SN2016gxp      1.11334    0.0726997      17.2060    0.0186377      17.0050    0.0443682      15.9527    0.0321524      14.6167    0.0246148      15.0603    0.0229314      14.8768    0.0279721      17.2398    0.0202713      17.7063    0.0447795      16.2306    0.0557367      14.7525    0.0210854      15.0603  0.000635624      14.9060    0.0113602
SN2016hht      1.05864     0.251224      18.2995     0.145541          NaN          NaN      16.7768     0.145215      15.4333     0.144480      15.5245     0.138324      15.5802     0.145298      18.9586     0.601163          NaN          NaN      18.8829      1.87891      15.4583    0.0703578      15.5245   0.00240564      15.5802   0.00201702
SN2016gsb          NaN          NaN      17.6537    0.0504410          NaN          NaN      15.9872    0.0325240      14.5630    0.0230016      14.5352    0.0195122      14.4462    0.0272609      17.6977   0.00874996          NaN          NaN      16.0629    0.0112143      14.6187   0.00886758      14.5352  0.000312805      14.4756   0.00509882
SN2016gfr          NaN          NaN      18.2587    0.0649144      19.5945     0.145541      16.6010    0.0380187      14.9582    0.0282767      15.2975    0.0254035      15.1803    0.0340220      18.3368    0.0218577      19.5974   0.00328414      16.7124    0.0236006      15.1070    0.0256097      15.2975  0.000841618      15.1857   0.00369263
SN2016fej     0.870927    0.0475395      16.4790     0.145173      17.3658    0.0420967      14.8810     0.135083      13.3217    0.0980567      13.9042    0.0165158      13.8438    0.0190295      16.4821   0.00459957      17.5954    0.0486045      15.0075    0.0289168      13.4126    0.0251305      13.9042  0.000706673      13.8977    0.0142827
SN2016ekg      1.01683    0.0500518      17.6508    0.0429249      18.2767    0.0579361      16.0797    0.0360147      14.5742    0.0204498      14.9707    0.0186980      15.0675    0.0266010      17.7381    0.0232585      18.2767   0.00144958      16.1171    0.0213480      14.6173    0.0199129      14.9707  0.000836849      15.0713   0.00275326
SN2016eiy      1.27560    0.0377314      17.8315    0.0781263          NaN          NaN      16.1873    0.0375721      14.5935    0.0258683      14.4822    0.0223510      14.1865    0.0275810      17.8374   0.00548331          NaN          NaN      16.2039    0.0101922      14.6439    0.0172532      14.4822  0.000644684      14.2197    0.0105410
SN2016coj          NaN          NaN      15.6943    0.0396011      16.3120     0.128800      14.3267    0.0258329          NaN          NaN          NaN          NaN      14.0693     0.143517          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
SN2016ccj     0.623442     0.192574      18.1310     0.145541      17.8360     0.145303      17.0530     0.145281      16.1667     0.142725      16.9778     0.143890      16.8883    0.0404536      18.5315     0.204125      18.0587     0.115253      17.3094     0.160972      16.2382    0.0641445      16.9778   0.00200748      16.9426    0.0593119
SN2016dxv          NaN          NaN      19.1322     0.145541          NaN          NaN      17.6437     0.145406      16.0657     0.142853      16.1038     0.133830          NaN          NaN      19.1425    0.0185906          NaN          NaN      17.7971    0.0685457      16.1734    0.0884231      16.1038   0.00269032         -NaN          NaN
